Чек-лист и результаты выполнения тестов: тестирование вёрстки формы бронирования для тарифа "Роскошный"				
				
№	Описание проверки	Статус Окружение Яндекс.Браузер Версия 22.5.0.1816 Разрешение 800х600 ОС Windows 10 Домашняя	Статус Окружение Firefox Browser Версия 100.0.1 Разрешение 1920x1080 ОС Windows 10 Домашняя	Ссылка на баг-репорт
1	Стартовое состояние формы бронирования - выбран тариф Повседневный, поля «Добавить права» и «Способ оплаты» пустые	PASSED	PASSED	
2	Для выбора доступно три тарифа: Повседневный, Походный, Роскошный	PASSED	PASSED	
3	Левый верхний угол над тарифами серая круглая иконка с белой стрелкой влево для возврата к предыдущему меню где нужно выбрать способ передвижения.	PASSED	PASSED	
4	Выбранный тариф подсвечивается серым цветом 	PASSED	PASSED	
5	Если поля «Откуда» и «Куда» заполнены, под названием тарифа отображается точная стоимость поездки	PASSED	PASSED	
6	Если поля «Откуда» и «Куда» не заполнены, отображается стоимость за минуту	FAILED	FAILED	https://tracker.yandex.ru/BUG-593066
7	Блок с деталями тарифа и информацией о ближайшей машине	PASSED	PASSED	
7.1	блок с белым фоном	PASSED	PASSED	
7.2	у блока серая рамка	PASSED	PASSED	
7.3	края блока закруглены	PASSED	PASSED	
7.4	марка ближайшего автомобиля "Porsche 911"	PASSED	PASSED	
7.4.1	надпись марки ближайшего автомобиля "Porsche 911" выравнена по центру	PASSED	PASSED	
7.5	надпись "Блеск, мощь, глянец" 	PASSED	PASSED	
7.5.1	надпись "Блеск, мощь, глянец" выравнена по центру	PASSED	PASSED	
7.6	изображение идущего человечка	FAILED	FAILED	https://tracker.yandex.ru/BUG-593094
7.6.1	изображение серого цвета	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-593094
7.6.2	локализация - перед отображением времени в пути	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-593094
7.7	отображение времени в пути	PASSED	PASSED	
7.7.1	надпись серого цвета	PASSED	PASSED	
7.7.2	локализация - перед надписью "10 минут бесплатного ожидания"	PASSED	PASSED	
7.8	надпись "10 минут бесплатного ожидания"	PASSED	PASSED	
7.8.1	надпись серого цвета	PASSED	PASSED	
7.9	изображение идущего человечка, отображение времени в пути и надпись "10 минут бесплатного ожидания" отображены в одной строке	FAILED	FAILED	https://tracker.yandex.ru/BUG-593094
7.9.1	строка "изображение идущего человечка, отображение времени в пути и надпись "10 минут бесплатного ожидания"" выравнена по центру	PASSED	PASSED	
7.10	изображение машины: зеленый автомобиль с откидной крышей, марки Porsche 911	PASSED	PASSED	
7.10.1	изображение выровнено по центру			
7.11	надпись "светомузыка - напитки для гостей"	PASSED	PASSED	
7.11.1	надпись серого цвета	PASSED	PASSED	
7.11.2	надпись выровнена по центру	PASSED	PASSED	
8	Поле "Добавить права"	PASSED	PASSED	
8.1	поле с фоном белого цвета	PASSED	PASSED	
8.2	поле имеет рамку серого цвета	PASSED	PASSED	
8.3	края поля закруглены	PASSED	PASSED	
8.4	надпись по левому краю поля "Добавить права"	PASSED	PASSED	
8.4.1	надпись "Добавить права" серого цвета	PASSED	PASSED	
8.5	стрелка вправо по правому краю поля	FAILED	FAILED	https://tracker.yandex.ru/BUG-593134
8.6	после заполнения формы в поле «Добавить права» появится таймер на 30 секунд. 	SKIPPED	SKIPPED	Функция отсетствует в текущей реализации
